Station (alphabetical by borough),Borough,2015,2016,2017,2018,2019,2020,Change19-20,PercentChange,2020Rank
"Queensboro Plaza (N,W,7)",Q,11786,12936,13502,14517,14533,5435,"-9,098",-0.626,107
Rockaway Blvd (A),Q,5690,7683,7786,7534,7450,3365,"-4,085",-0.548,191
"Rockaway Park-Beach 116 St (A,S)",Q,747,727,683,696,660,319,-341,-0.517,421
Seneca Av (M),Q,2726,2832,1576,1818,3210,1460,"-1,751",-0.545,355
"Steinway St (M,R)",Q,14895,14836,14867,15590,14640,5564,"-9,076",-0.62,101
Sutphin Blvd (F),Q,4851,4652,4496,4291,4328,2277,"-2,051",-0.474,280
"Sutphin Blvd-Archer Av-JFK Airport (E,J,Z)",Q,24349,24796,23843,23388,23891,9357,"-14,533",-0.608,46
Vernon Blvd-Jackson Av (7),Q,14819,15910,15781,15093,15151,5711,"-9,439",-0.623,97
"Woodhaven Blvd (J,Z)",Q,4940,4838,5104,4771,4607,2171,"-2,437",-0.529,291
"Woodhaven Blvd (M,R)",Q,22220,22483,21879,20704,20340,8389,"-11,951",-0.588,57
Woodside-61 St (7),Q,17007,17236,16945,16501,16684,7400,"-9,284",-0.556,69
